"Country";"Data";"Device ID";"Sequence number";"Timestamp"
"";"972a0070011b1b1b1b6f0e2e";"00C6D881";"558";"2021-05-04 12:59:16"
"";"972a0070011a1a1a1a6e0c2d";"00C6D881";"557";"2021-05-04 10:59:15"
"";"972a0070011a1a1a1a6e0a2c";"00C6D881";"556";"2021-05-04 08:59:13"
"";"972a0070011a1a1a1a6d092b";"00C6D881";"555";"2021-05-04 06:59:11"
"";"972a0070011a1a1a1a6d082a";"00C6D881";"554";"2021-05-04 04:59:10"
"";"972a0070011a1a1a1a6d0829";"00C6D881";"553";"2021-05-04 02:59:08"
"";"972a0070011a1a1a1a6d0928";"00C6D881";"552";"2021-05-04 00:59:07"
"";"972a0070011a1a1a1a6e0827";"00C6D881";"551";"2021-05-03 22:59:26"
"";"972a0070011b1b1b1b6e0c26";"00C6D881";"550";"2021-05-03 20:59:27"
"";"972a0070011a1a1a1a6f0d25";"00C6D881";"549";"2021-05-03 18:59:23"
"";"972a0070011a1a1a1a6f0e24";"00C6D881";"548";"2021-05-03 16:59:22"
"";"972a0070011a1a1a1a6f0e23";"00C6D881";"547";"2021-05-03 14:59:20"
"";"972a007001191919196e0d22";"00C6D881";"546";"2021-05-03 12:59:19"
"";"972a007001191919196e0a21";"00C6D881";"545";"2021-05-03 10:59:18"
"";"972a007001000000006e0d20";"00C6D881";"544";"2021-05-03 08:59:17"
"";"972a0070011a1a1a1a6d081f";"00C6D881";"543";"2021-05-03 06:59:14"
"";"972a007001171717176c061e";"00C6D881";"542";"2021-05-03 04:59:13"
"";"972a007001171717176d061d";"00C6D881";"541";"2021-05-03 02:59:11"
"";"972a0070011a1a1a1a6d091c";"00C6D881";"540";"2021-05-03 00:59:31"
"";"972a0070011a1a1a1a6d071b";"00C6D881";"539";"2021-05-02 22:59:29"
"";"972a0070011a1a1a1a6d0a1a";"00C6D881";"538";"2021-05-02 20:59:28"
"";"972a007001191919196e0719";"00C6D881";"537";"2021-05-02 18:59:26"
"";"972a0070011a1a1a1a6e0a18";"00C6D881";"536";"2021-05-02 16:59:24"
"";"972a0070011a1a1a1a6e0d17";"00C6D881";"535";"2021-05-02 14:59:23"
"";"972a0070011a1a1a1a6e0c16";"00C6D881";"534";"2021-05-02 12:59:21"
"";"972a0070011a1a1a1a6e0d15";"00C6D881";"533";"2021-05-02 10:59:21"
"";"972a0070011a1a1a1a6d0b14";"00C6D881";"532";"2021-05-02 08:59:19"
"";"972a0070011a1a1a1a6d0a13";"00C6D881";"531";"2021-05-02 06:59:17"
"";"972a0070011a1a1a1a6d0812";"00C6D881";"530";"2021-05-02 04:59:16"
"";"972a0070011a1a1a1a6d0811";"00C6D881";"529";"2021-05-02 02:59:15"
"";"972a0070011a1a1a1a6d0610";"00C6D881";"528";"2021-05-02 00:59:34"
"";"972a0070011a1a1a1a6d090f";"00C6D881";"527";"2021-05-01 22:59:32"
"";"972a0070011a1a1a1a6d090e";"00C6D881";"526";"2021-05-01 20:59:31"
"";"972a0070011a1a1a1a6d070d";"00C6D881";"525";"2021-05-01 18:59:29"
"";"972a0070011a1a1a1a6e090c";"00C6D881";"524";"2021-05-01 16:59:28"
